Long,Lat,dataset,NO3
-70.961853,41.600978,BBC,0.8983890087290323
-70.688604,41.763453,BBC,0.0683083555
-70.702375,41.763612,BBC,0.0586108908
-70.67575,41.76261,BBC,0.00900140483617021
-70.919456,41.684545,BBC,0.313827138485
-70.91673,41.678494,BBC,0.4589569006105263
-70.914166,41.696408,BBC,0.3094847343415842
-70.906013,41.73811,BBC,0.02400409832386363
-71.159266,41.477378,BBC,0.00350175
-71.16685,41.484079,BBC,0.1134567
-70.955893,41.604595,BBC,1.2598795695876923
-70.953747,41.631943,BBC,0.02725915299767442
-71.073583,41.561934,BBC,0.1321728534
-70.819502,41.657605,BBC,0.008516256
-70.821956,41.655337,BBC,0.014903448
-70.653062,41.561375,BBC,0.0057998985
-70.649209,41.566122,BBC,0.00626996614363636
-70.633754,41.623028,BBC,0.1936257645
-70.63095,41.622537,BBC,0.3965779899
-70.803695,41.747371,BBC,0.06280952725090909
-70.795771,41.734885,BBC,0.05654037606
-70.794137,41.733924,BBC,0.03093124612941176
-70.722141,41.767448,BBC,0.01064831719677419
-70.834282,41.657125,BBC,0.1952354264
-71.059734,41.621049,BBC,0.4450663207148148
-70.868114,41.639125,BBC,0.26201942424
-70.871864,41.642827,BBC,0.54302255559
-70.870896,41.640893,BBC,0.61627330933
-70.990227,41.585764,BBC,0.3931010230170732
-70.608142,41.677803,BBC,0.02282956362272727
-70.610341,41.676337,BBC,0.0058941456
-70.61113,41.677514,BBC,0.0091101528
-70.63355,41.764426,BBC,0.7175008155666667
-70.635237,41.766773,BBC,0.296292293444
-70.823947,41.66576,BBC,0.34819446938450704
-70.617183,41.816615,BBC,0.0101055252375
-70.61745,41.808661,BBC,0.01400069685
-70.630846,41.803762,BBC,0.0066279373125
-70.747559999999993,41.765299,BBC,0.1888710642
-70.42362778,41.66710556,USGS,0.7935806451612903
